DoD1,DoD2,BatV1,BatV2,Hours1,Hours2
71.54,,,13.03,,0.0004
71.54,,,13.03,,0.0007
70.77,,,13.04,,0.0010
71.54,,,13.03,,0.0012
71.54,,,13.03,,0.0015
71.54,,,13.03,,0.0018
71.54,,,13.03,,0.0021
71.54,,,13.03,,0.0023
70.77,,,13.04,,0.0026
71.54,,,13.03,,0.0029
71.54,,,13.03,,0.0032
71.54,,,13.03,,0.0035
70.00,,,13.05,,0.0037
71.54,,,13.03,,0.0040
71.54,,,13.03,,0.0043
71.54,,,13.03,,0.0046
71.54,,,13.03,,0.0048
71.54,,,13.03,,0.0051
71.54,,,13.03,,0.0054
71.54,,,13.03,,0.0057
71.54,,,13.03,,0.0060
71.54,,,13.03,,0.0062
71.54,,,13.03,,0.0065
71.54,,,13.03,,0.0068
71.54,,,13.03,,0.0071
71.54,,,13.03,,0.0073
71.54,,,13.03,,0.0076
71.54,,,13.03,,0.0079
70.00,,,13.05,,0.0082
71.54,,,13.03,,0.0084
71.54,,,13.03,,0.0087
71.54,,,13.03,,0.0090
71.54,,,13.03,,0.0093
71.54,,,13.03,,0.0096
71.54,,,13.03,,0.0098
71.54,,,13.03,,0.0101
71.54,,,13.03,,0.0104
71.54,,,13.03,,0.0107
71.54,,,13.03,,0.0109
71.54,,,13.03,,0.0112
71.54,,,13.03,,0.0115
70.00,,,13.05,,0.0118
70.77,,,13.04,,0.0120
70.77,,,13.04,,0.0123
71.54,,,13.03,,0.0126
70.77,,,13.04,,0.0129
71.54,,,13.03,,0.0132
71.54,,,13.03,,0.0134
71.54,,,13.03,,0.0137
71.54,,,13.03,,0.0140
70.77,,,13.04,,0.0143
71.54,,,13.03,,0.0145
70.00,,,13.05,,0.0148
71.54,,,13.03,,0.0151
71.54,,,13.03,,0.0154
71.54,,,13.03,,0.0157
70.77,,,13.04,,0.0159
70.00,,,13.05,,0.0162
71.54,,,13.03,,0.0165
70.77,,,13.04,,0.0168
71.54,,,13.03,,0.0171
71.54,,,13.03,,0.0173
71.54,,,13.03,,0.0176
71.54,,,13.03,,0.0179
71.54,,,13.03,,0.0181
70.77,,,13.04,,0.0185
71.54,,,13.03,,0.0187
